count,token
21399,problema
21357,através
21189,hora
21163,feito
21113,vem
21014,Era
20990,agosto
20906,Antônio
20814,SP
20780,Além
20757,Grande
20731,aí
20699,idéia
20670,5
20667,vão
20650,junho
20613,família
20519,setembro
20418,alguma
20402,maioria
20332,situação
20327,valor
20308,filme
20300,pontos
20272,PT
20256,eleito
20220,deu
20130,coisas
20012,problemas
19940,governador
19901,época
19886,chegou
19882,teria
19862,falta
19776,algumas
19725,tipo
19717,4
19661,real
19648,12
19612,Universidade
19565,ação
19521,questão
19396,estadual
19348,Santos
19322,jornal
19222,homens
19203,Ainda
19179,especial
18997,estar
18968,disso
18962,afirma
18830,rua
18713,tal
18710,aumento
18704,inflação
18694,economia
18670,boa
18664,time
18637,Ela
18578,média
18577,pesquisa
18565,dessa
18545,causa
18545,cabeça
18529,plano
18527,mão
18380,social
18355,50
18354,sentido
18348,sociedade
18326,dá
18289,mãe
18287,nossa
18220,dez
18197,seis
18176,DE
18169,música
18100,polícia
18080,saber
18076,começou
18037,junto
18034,última
18026,própria
17945,PMDB
17908,nosso
17868,pra
17820,prazo
17812,principal
17804,segunda
17783,proposta
17675,sabe
17537,ficar
17530,Sucursal
17501,Lula
17480,decisão
17460,senhor
17423,dele
17402,Senado
17397,importante
17367,preciso
17343,Francisco
17339,mim
17338,mal
17325,Deus
17316,serão
17249,Isso
17204,água
17193,Cardoso
17177,geral
17130,amor
17116,presidência
17105,fica
17084,base
17043,algum
17030,reforma
17027,nesse
16999,Social
16967,quais
16948,criação
16925,muitos
16911,Nova
16844,Brasileiro
16829,isto
16752,obra
16686,produtos
16681,bilhões
16662,militar
16623,papel
16593,falar
16578,novos
16558,modo
16548,corpo
16523,TV
16507,político
16442,Só
16440,secretário
16416,Pedro
16416,legenda
16350,votos
16331,feita
16322,local
16307,Luís
16292,resultado
16285,certo
16237,brasileiros
16196,Minas
16165,Vargas
16138,poderia
16129,principais
16127,neste
16125,40
16085,técnico
16077,medida
16069,direção
16064,senador
16054,Instituto
16018,Quem
16012,ali
15982,25
15907,campo
15869,tendo
15850,devem
15850,condições
15817,Constituição
15806,terra
15752,pessoa
15752,juros
15722,políticos
15702,vários
15691,ir
15660,total
15654,deixou
15618,si
15611,últimos
15527,mulheres
15506,forte
15504,filhos
15494,carro
15462,pública
15441,parece
15402,Então
15318,zona
15304,diante
15247,força
15242,crise
15189,comissão
15182,Assim
15102,estavam
15065,ninguém
15043,Luiz
15030,Até
14964,texto
14964,saúde
14954,aquele
14952,sei
14893,
14877,alta
14871,mãos
14853,objetivo
14833,ia
14805,vista
14797,linha
14747,Roberto
14726,defesa
14707,preço
14683,atual
14682,esses
14682,econômica
14677,1º
14673,Essa
14672,Fazenda
14667,amigo
14664,tenho
14613,espaço
14597,maneira
14566,embora
14550,guerra
14493,desenvolvimento
14488,muitas
14476,Unidos
14440,PSDB
14418,deles
14401,chefe
14390,desta
14381,obras
14366,serviço
14366,novas
14366,for
14300,minutos
14246,crianças
14237,uso
14225,essas
14225,curso
14199,filha
14195,próximo
14185,maiores
14174,demais
14093,Filho
14081,18
14072,palavras
14070,único
14066,talvez
14053,nasceu
14013,União
14010,seleção
13994,imprensa
13980,informação
13942,coração
13934,banco
13931,líder
13906,informações
13891,reunião
13865,nenhum
13858,vitória
13858,serviços
13757,casos
13709,participação
13704,terá
13698,longo
13698,centro
13682,venda
13667,posição
13666,Durante
13665,6
13657,Seu
13631,tenha
13617,Central
13597,futuro
13592,elas
13587,dados
13578,ordem
13548,favor
13536,16
13535,regime
13527,população
13515,oposição
13508,contrário
13472,Entre
13458,candidatura
13442,general
13422,professor
13420,Esse
13417,voz
13397,respeito
13392,ar
13388,futebol
13373,Agora
13344,velho
13341,anterior
13332,chegar
13332,11
13325,queda
13321,Você
13321,Conselho
13281,D.
13258,segurança
13257,aquela
13250,eleição
13223,primeiros
13196,Hoje
13186,manhã
13183,várias
13143,simples
13079,deixar
13078,bancos
13075,assumiu
13021,Exército
13014,Tribunal
12972,jogadores
12968,povo
12960,qualidade
12960,conseguiu
12944,fundo
12937,rede
12930,mostra
12917,60
12886,militares
12870,porta
12862,Eles
12827,entanto
12814,autor
12810,modelo
12791,sim
12790,Oliveira
12778,houve
12775,14
12737,função
12722,Franco
12719,membro
12700,controle
12695,fase
12691,muita
12690,Nesse
12687,funcionários
12681,posse
12674,alto
12668,cinema
12615,principalmente
12612,razão
12597,século
12589,fazendo
12570,Copa
12546,Brasileira
12540,Santa
12525,Também
12503,difícil
12499,te
12492,cultura
12490,menor
12447,Eduardo
12418,Nos
12397,prefeito
12362,podia
12333,imagem
12285,medidas
12277,Campos
12254,série
12231,eleitoral
12213,recebeu
12210,Costa
12187,Do
12176,arte
12147,ações
12129,caminho
12105,Art.
12102,Secretaria
12098,tornou-se
12089,entrar
12067,oito
12064,24
12063,paulista
12062,Itamar
12044,trabalhos
12037,7
12034,crescimento
12029,partidos
12025,Militar
11993,pessoal
11992,grupos
11935,13
11933,poderá
11929,artigo
11926,tinham
11895,Bahia
11882,América
11877,8
11864,pleito
11852,única
11833,sala
11828,Polícia
11809,17
11774,oficial
11772,título
11772,tel.
11760,internacionais
11749,voltou
11743,passar
11741,amanhã
11698,administração
11667,dela
11639,precisa
11614,1994
11601,deputados
11596,crime
11577,necessidade
11573,Escola
11523,Este
11522,PFL
11508,atividades
11499,Deputados
11491,forças
11488,sete
11468,existe
11460,palavra
11434,compra
11426,Lima
11414,construção
11371,luz
11361,nessa
11334,presença
11327,encontro
11326,Associação
11324,York
11309,domingo
11300,Guerra
11270,apesar
11238,diferentes
11236,seguida
11232,partida
11224,internacional
11214,nesta
11209,sucesso
11206,km
11182,direitos
11169,longe
11166,indústria
11154,interesse
11151,ocasião
11135,sair
11119,vou
11117,acabou
11104,prefeitura
11076,passa
11076,70
11069,taxa
11063,pedido
11060,vice-presidente
11057,sociais
11056,possibilidade
11053,programas
11044,Plano
11025,Jorge
11010,juiz
11009,Sua
11007,veio
10999,sou
10999,luta
10991,políticas
10984,Saúde
10973,claro
10973,abertura
10972,evitar
10967,torno
10962,Apesar
10954,Europa
10911,Mais
10891,interior
10868,candidatos
10864,amigos
10850,pagamento
10845,nenhuma
10830,[
10828,$]
10827,opinião
10818,assunto
10795,efeito
10770,21
10750,meus
10747,médico
10734,quarto
10718,realidade
10711,alma
10675,formação
10655,escola
10642,trabalhar
10633,pé
10625,nº
10623,mínimo
10618,carta
10610,olhar
10600,100
10597,sul
10597,natureza
10597,Argentina
10594,conhecimento
10591,Pereira
10589,19
10578,Real
10535,nível
10532,entrada
10512,queria
10500,comercial
10466,Lei
10453,organização
10435,somente
10434,manter
10423,art.
10420,Nas
10411,marido
10405,Collor
10391,94
10387,áreas
10383,responsável
10376,quadro
10376,desses
10365,participou
10349,projetos
10349,estou
10334,CR$
10329,livre
10315,deveria
10309,França
10307,bastante
10295,Esta
10290,URV
10250,entrevista
10231,fazem
10223,carreira
10203,salários
10177,senhora
10173,livros
10162,uns
10137,Mundial
10129,80
10120,22
10084,revista
10079,Após
10073,públicos
10056,Gerais
9998,vontade
9994,Porto
9979,comum
9974,relações
9968,pena
9963,atrás
9959,Centro
9958,Gomes
9957,educação
9953,espécie
9939,anteontem
9919,Faculdade
9913,começa
9908,Depois
9904,1993
9860,próxima
9857,entrou
9836,espírito
9833,jogador
9803,levar
9803,carros
9791,resultados
9775,viagem
9774,Distrito
9772,9
9771,poucos
9767,fazia
9760,idade
9748,experiência
9734,atenção
9729,BC
9703,31
9699,algo
9691,pagar
9691,Democrático
9670,filmes
9659,devido
9654,parlamentares
9641,central
9639,trabalhadores
9633,receber
9627,superior
9621,&
9601,temos
9597,exterior
9573,passada
9562,Globo
9559,Pois
9540,Sem
9513,mudança
9498,prática
9487,vendas
9487,cara
9482,cuja
9468,saiu
9459,moça
9447,esquerda
9406,custo
9383,acesso
9380,cadeira
9372,estudo
9372,acima
9368,acho
9362,setores
9332,risco
9295,prisão
9293,renda
9288,festa
9288,23
9284,produto
9282,cima
9268,década
9266,deverá
9259,daquele
9254,alguém
9245,discurso
9221,via
9220,29
9217,perto
9216,dólar
9212,levou
9187,dívida
9180,p.
9180,capacidade
9176,inclusive
9171,conjunto
9150,estudos
9144,nomeado
9134,portanto
9115,Alberto
9108,liberdade
9085,mesa
9076,redução
9074,90
9067,Norte
9053,Tudo
9050,turno
9050,fala
9046,pretende
9039,viu
9011,salário
9011,Antonio
9008,Itália
9007,titular
8998,cidades
8992,criar
8981,Assembléia
8980,peças
8965,Sarney
8962,Redação
8956,tomar
8942,Casa
8938,atividade
8936,policiais
8924,índice
8919,respondeu
8918,vinha
8911,popular
8908,tentar
8905,Mário
8901,necessário
8898,reais
8891,Educação
8889,Cultura
8886,votação
8883,Agência
8872,chamado
8870,operação
8856,93
8845,Ou
8839,sangue
8837,novamente
8835,certa
8829,econômico
8824,edição
8821,nota
8811,membros
8808,tema
8793,The
8780,lista
8774,atuação
8767,violência
8740,contas
8729,Especial
8726,Paris
8722,chega
8712,acha
8701,voto
8693,Mesmo
8691,teatro
8673,dúvida
8663,nomes
8656,imagens
8651,agências
8643,comércio
8641,prova
8634,28
8623,consumo
8611,moeda
8611,dizia
8607,tempos
8606,advogado
8574,busca
8573,melhores
8565,voltar
8556,data
8553,comando
8551,Alves
8545,1995
8541,sábado
8540,Desde
8525,diferença
8503,norte
8500,peça
8493,crédito
8468,Sérgio
8464,meia
8459,termos
8457,27
8455,fui
8452,Ah
8449,pequeno
8445,banda
8444,presente
8416,pequena
8410,haviam
8403,Alemanha
8388,resposta
8382,órgão
8375,rosto
8350,tivesse
8347,dessas
8341,1992
8329,material
8320,continua
8317,nossos
8306,I
8293,terceiro
8292,vamos
8291,versão
8277,irmão
8275,financeiro
8274,saída
8266,baixo
8265,ambos
8256,feitas
8252,Internacional
8232,criança
8223,vê
8220,Washington
8209,cujo
8203,cm
8191,ruas
8185,escolas
8182,ataque
8170,medo
8157,Santo
8157,existência
8151,mundial
8150,ciência
8144,investimentos
8139,emenda
8137,greve
8136,jornais
8136,empresários
8135,espera
8133,gosto
8127,tiveram
8125,gestão
8096,diferente
8095,Magalhães
8066,estaduais
8051,importância
8050,fácil
8043,pediu
8028,capaz
8023,Departamento
8021,jogos
8003,motivo
7987,realizada
7982,mudanças
7981,dado
7974,visão
7974,quero
7968,casas
7965,Comércio
7956,legislatura
7941,II
7936,conhecido
7924,evento
7924,energia
7923,acontece
7920,gol
7912,sol
7905,serem
7895,Trabalho
7894,mar
7893,sejam
7890,marca
7890,contrato
7883,solução
7883,princípio
7880,técnica
7870,pobre
7868,Getúlio
7863,origem
7857,aqueles
7855,diversos
7854,Carvalho
7845,entidade
7835,documento
7828,sede
7826,César
7822,posto
7822,natural
7817,26
7814,comunicação
7812,disco
7811,Todos
7806,civil
7803,PTB
7788,importantes
7778,estrutura
7776,1990
7774,0
7766,Tem
7758,encontrar
7754,Municipal
7752,inglês
7747,CPI
7745,café
7744,México
7734,participar
7728,Paulista
7723,Direito
7723,Desenvolvimento
7717,instituições
7717,constitucional
7716,sabia
7714,etc.
7703,pensar
7692,volume
7672,passo
7655,usar
7651,Souza
7648,1964
7647,questões
7636,Companhia
7632,bola
7618,caráter
7615,classe
7613,idéias
7592,entretanto
7591,criado
7580,pais
7575,discussão
7572,haver
7562,diversas
7561,telefone
7557,disputa
7554,95
7543,Enquanto
7540,públicas
7540,Paraná
7527,preso
7522,boca
7513,negócios
7509,aconteceu
7502,rio
7493,Aí
7483,Fundação
7477,decidiu
7470,parecia
7454,traz
7452,iniciativa
7448,Das
7436,ônibus
7407,paz
7398,tomou
7389,tais
7389,delas
7377,ato
7363,Melo
7355,Ribeiro
7347,Ontem
7344,troca
7340,pensamento
7326,ouro
7325,realizado
7318,vale
7311,dificuldades
7307,reformas
7303,regras
7298,Dias
7296,formas
7293,líderes
7293,esteve
7278,perguntou
7277,perder
7277,expressão
7273,estes
7272,vaga
7259,ensino
7258,Nem
7255,Ferreira
7252,ambiente
7241,títulos
7233,ajuda
7228,baixa
7227,sr.
7209,abaixo
7205,andar
7195,velha
7190,estas
7187,Rodrigues
7183,condição
7180,presos
7178,jovens
7174,Constituinte
7166,Quanto
7161,jogar
7161,estamos
7161,deixa
7161,combate
7151,clube
7146,intervenção
7138,1930
7129,Japão
7112,ficaram
7110,francês
7109,Recife
7108,mostrar
7102,fogo
7091,sexta-feira
7084,céu
7083,USP
7072,aprovação
7061,tratamento
7060,naquele
7051,Presidência
7048,cena
7039,propostas
7039,jovem
7034,Palmeiras
7031,Sim
7030,jornalista
7018,of
7015,casamento
7008,estilo
6987,Maluf
6986,comprar
6973,instituição
6971,realmente
6970,pesquisas
6964,metade
6959,crítica
6954,dando
6944,Movimento
6943,taxas
6942,perdeu
6937,fizeram
6931,interesses
6924,visto
6914,valores
6909,alunos
6907,STF
6895,negócio
6890,emprego
6883,sobretudo
6883,Ricardo
6883,Branco
6882,aumentar
6879,seriam
6876,análise
6872,show
6871,quis
6868,elementos
6854,operações
6848,Novo
6843,direita
6838,Salvador
6835,contar
6835,Alegre
6832,Previdência
6831,Augusto
6829,posso
6829,obteve
6826,cultural
6815,querem
6808,continuar
6805,tecnologia
6789,ganhar
6788,tentativa
6787,contato
6785,escolha
6784,Quércia
6780,televisão
6772,semanas
6772,armas
6766,Manuel
6764,oficiais
6764,Mundo
6762,profissional
6755,Está
6750,delegado
6746,acaba
6725,Pernambuco
6720,PDT
6719,nacionais
6717,linguagem
6710,som
6696,passagem
6695,distribuição
6681,Estadual
6678,lojas
6673,nove
6663,aquilo
6659,morreu
6657,falou
6648,acusado
6647,permite
6645,leva
6645,debate
6644,Andrade
6641,memória
6640,ministros
6635,35
6634,responsabilidade
6625,artistas
6617,ouvir
6608,branco
6607,pés
6606,braços
6604,seguir
6600,linhas
6594,estados
6588,doença
6586,caiu
6582,Civil
6575,fiscal
6567,empresário
6552,visita
6552,conselho
6547,companhia
6544,locais
6540,Público
6536,norte-americano
6532,significa
6526,silêncio
6518,lançamento
6513,fundos
6512,200
6511,Londres
6503,avaliação
6499,brasileiras
6495,Covas
6489,x
6486,certeza
6483,conseguir
6482,Neste
6480,meios
6476,Belo
6471,DA
6469,especialmente
6468,pedir
6459,considerado
6458,chamada
6445,grau
6444,literatura
6433,Orçamento
6427,ocorreu
6425,língua
6422,representantes
6418,imposto
6411,primeiras
6408,2º
6407,1991
6403,Pelo
6392,Vamos
6392,artista
6392,+
6390,partes
6390,Federação
6388,bens
6386,leitor
6381,mudar
6371,m
6368,município
6365,apresentou
6364,profissionais
6364,computador
6363,americano
6362,possa
6362,À
6355,tornou
6339,humanos
6335,ganhou
6331,passando
6326,Almeida
6323,Embora
6319,próprios
6314,funções
6307,efeitos
6304,pior
6301,procura
6296,Ana
6286,assumir
6277,Serra
6266,obter
6265,impostos
6263,PSD
6258,1988
6255,igual
6252,escritor
6251,Nós
6249,trata
6245,Ciência
6244,milhão
6241,André
6229,pequenos
6226,Marcelo
6224,acredita
6210,Ora
6208,vivo
6198,Porque
6198,objeto
6198,Brizola
6195,próximos
6186,figura
6175,moda
6175,câmbio
6170,tendência
6163,exercício
6161,costas
6158,máximo
6157,números
6156,dizendo
6154,resto
6152,Outro
6146,Meu
6141,relatório
6136,bancada
6128,abrir
6127,coronel
6127,continuou
6119,intenção
6117,peso
6109,técnicos
6100,influência
6100,esforço
6097,realização
6096,tu
6096,Barros
6094,Goulart
6092,rapaz
6085,Entretanto
6082,apresentar
6074,conversa
6073,viver
6070,presidencial
6069,órgãos
6069,matéria
6049,declarou
6044,planos
6041,metros
6040,menina
6040,Grupo
6039,desejo
6039,críticas
6021,Horizonte
6020,negociações
6015,morto
6014,colocar
6013,1979
6001,esquema
6000,médio
5999,prevê
5998,consciência
5995,bairro
5993,processos
5990,Nada
5983,rádio
5980,Geral
5965,revisão
5962,pressão
5960,preocupação
5959,começar
5951,entender
5943,municípios
5941,revolução
5934,estrangeiros
5922,500
5920,Neves
5915,Aliança
5908,fechou
5903,chão
5902,daquela
5899,terceira
5893,professores
5889,Nessa
5885,original
5878,DO
5877,famílias
5873,ler
5873,anunciou
5872,Executivo
5868,vi
5865,legislação
5865,explica
5863,antigo
5862,lhes
5862,Legislativa
5854,quê
5849,grave
5845,Eleitoral
5837,Cruz
5834,Indústria
5828,feliz
5827,fundamental
5825,desempenho
5823,momentos
5821,dava
5820,Machado
5814,Fundo
5812,páginas
5810,comunidade
5807,criada
5806,criou
5802,Acho
5796,ministério
5796,Isto
5795,Flamengo
5790,dizem
5788,massa
5788,garantir
5787,teoria
5780,governos
5776,artigos
5774,particular
5764,contratos
5763,nossas
5759,escrever
5758,devia
5753,veículos
5752,padre
5746,parlamentar
5745,conforme
5741,Castro
5738,personagens
5725,praticamente
5724,Nordeste
5722,sai
5716,jantar
5711,Miguel
5711,cair
5706,ONU
5704,gabinete
5704,comissões
5699,Igreja
5697,RJ
5693,exposição
5693,altura
5692,leis
5689,Neto
5686,mortos
5685,passaram
5684,1986
5683,documentos
5680,cor
5673,Dois
5671,representação
5668,1985
5663,suplente
5660,impossível
5660,corrupção
5658,afinal
5636,mesmos
5633,elegeu-se
5632,promovido
5629,Vale
5629,negro
5611,Qual
5605,semelhante
5603,podemos
5598,sinal
5597,Revolução
5596,1989
5593,segunda-feira
5591,senão
5590,esperar
5590,coluna
5588,triste
5588,loja
5588,geração
5588,cargos
5587,1996
5582,enorme
5581,julgamento
5580,Defesa
5578,física
5576,Liberal
5567,industrial
5560,municipal
5560,Joaquim
5559,corte
5555,gastos
5555,entidades
5555,começo
5555,Assembleia
5553,sessão
5546,Internet
5544,poeta
5543,máquina
5539,comigo
5538,dono
5526,comandante
5525,existem
5518,personagem
5518,Mato
5516,português
5511,drogas
5507,hospital
5507,apresenta
5497,carioca
5494,equipamentos
5492,propriedade
5490,Agricultura
5490,300
5488,realizar
5485,Cunha
5485,conhecer
5483,notícia
5477,reeleição
5477,Colégio
5471,Grosso
5468,bons
5461,oeste
5459,exatamente
5458,acabar
5453,terão
5453,Jornal
5447,federais
5445,praça
5445,investimento
5439,daí
5436,estabilidade
5435,avenida
5434,teriam
5434,Corinthians
5432,Talvez
5424,Vila
5421,fatos
5416,alemão
5413,Júnior
5409,naquela
5403,confiança
5397,Martins
5397,deixando
5394,Moreira
5394,cá
5391,MG
5388,Soares
5385,romance
5384,Aqui
5383,Segurança
5378,diretamente
5375,unidades
5374,Barbosa
5372,45
5371,petróleo
5357,votou
5357,representante
5353,Foram
5350,Imposto
5350,ex-presidente
5347,temas
5345,braço
5339,animais
5338,discutir
5338,Barreto
5338,Alguns
5337,leitura
5336,externa
5326,tradição
5326,privatização
5317,modelos
5311,Outra
5309,estudantes
5309,estréia
5306,Sr.
5306,Portugal
5306,acidente
5303,Aires
5302,Às
5301,conceito
5296,legal
5292,regiões
5292,Frente
5291,Cada
5289,cursos
5288,esperança
5285,Lopes
5277,Fluminense
5275,informou
5270,enviado
5270,destino
5270,atacante
5269,Nelson
5268,Inglaterra
5263,praia
5262,disposição
5254,Rocha
5251,MP
5249,vir
5239,quantidade
5239,opção
5238,cabo
5233,feitos
5230,abriu
5229,PM
5228,Nunca
5227,manutenção
5227,Latina
5221,dólares
5219,médicos
5218,carne
5213,Espanha
5212,iniciou
5211,Superior
5210,pergunta
5209,UDN
5209,Romário
5207,menores
5207,custa
5198,Trabalhista
5190,movimentos
5189,estatal
5185,estaria
5185,Corte
5180,derrota
5173,prédio
5167,categoria
5164,tirar
5164,parecer
5164,Paraíba
5163,consumidor
5161,fossem
5161,custos
5157,seguintes
5156,tornar
5155,denúncias
5154,Israel
5147,entra
5144,Logo
5143,humana
5141,agência
5140,apresentação
5139,sorte
5139,pequenas
5138,estratégia
5133,John
5129,Economia
5128,minhas
5120,Governo
5107,soldados
5105,cem
5101,vive
5095,jeito
5095,humano
5093,foto
5093,atitude
5083,Econômico
5083,alegria
5081,face
5079,permaneceu
5074,representa
5073,poderão
5072,r
5068,lançou
5064,Onde
5064,clima
5062,jamais
5057,negros
5053,reduzir
5051,textos
5048,capitão
5041,privada
5041,oportunidade
5039,S.
5039,publicado
5039,1982
5035,antiga
5033,impressão
5033,conflito
5030,estudante
5029,reserva
5029,Batista
5027,orientação
5027,Borges
5026,comportamento
5025,gols
5015,Ceará
5010,quarta-feira
5006,Clinton
5005,espetáculo
5000,inicial
4998,aplicação
4997,convite
4996,Natal
4996,declaração
4993,tipos
4993,Botafogo
4991,missão
4989,tentou
4988,proteção
4987,Sindicato
4984,completa
4981,enfrentar
4979,exportações
4977,policial
4977,Informação
4975,simplesmente
4975,perda
4974,velocidade
4974,pobres
4974,dor
4973,China
4963,tese
4963,horário
4962,financiamento
4961,Dutra
4960,né
4959,Aos
4956,liderança
4955,haverá
4948,norte-americana
4948,1945
4941,igreja
4932,prazer
4925,alimentos
4924,execução
4922,Pública
4921,lembra
4918,começaram
4916,lugares
4915,Sociedade
4915,instante
4913,diretoria
4900,margem
4899,terras
4898,Receita
4895,tom
4893,democracia
4893,ausência
4891,Planejamento
4890,Amaral
4889,cenário
4886,fazenda
4883,recurso
4883,despesas
4881,vender
4879,recebe
4877,totalmente
4873,casado
4873,aspecto
4872,lançado
4870,sonho
4869,inquérito
4869,hotel
4863,extinção
4855,ficam
4854,golpe
4852,vantagem
4852,especiais
4850,janela
4849,http
4836,importações
4832,últimas
4832,aparece
4830,moradores
4828,autoridades
4827,1987
4826,reação
4825,fonte
4825,chapa
4824,Tenho
4824,ritmo
4824,Estou
4822,normal
4820,Administração
4818,Trabalhadores
4815,defender
4808,vídeo
4808,Rosa
4808,Minha
4806,Será
4803,teu
4803,Terra
4803,reajuste
4800,trabalha
4799,limite
4793,poesia
4793,italiano
4793,aprovado
4783,cartas
4780,suficiente
4778,temporada
4777,tropas
4776,cabelos
4775,boas
4774,expectativa
4773,hipótese
4772,escreveu
4766,beleza
4764,financeira
4762,longa
4760,explicar
4745,resistência
4743,justamente
4741,graças
4737,faixa
4736,Relações
4735,Pessoa
4733,Programa
4733,filosofia
4731,interessante
4730,Serviço
4730,Pinto
4729,menino
4726,Vai
4726,32
4722,Vieira
4720,Ninguém
4718,chegaram
4716,exerceu
4714,vocês
4710,adversário
4707,mostrou
4706,considera
4706,ator
4704,responsáveis
4702,aberto
4697,morrer
4692,distância
4689,madrugada
4685,monopólio
4683,usado
4683,Cidade
4681,Fernandes
4679,Campinas
4678,recente
4677,ponta
4677,canto
4675,ameaça
4672,vencer
4671,recebido
4669,jornalistas
4669,ferro
4667,aberta
4666,Sobre
4665,Teixeira
4665,d'
4665,1970
4662,min
4661,estatais
4661,cedo
4660,justiça
4654,chama
4651,moral
4650,motivos
4650,consegue
4648,dificuldade
4648,clientes
4645,objetos
4644,erro
4643,Inácio
4641,Organização
4638,quebra
4635,Nossa
4633,Três
4633,ideal
4631,ajudar
4630,corrente
4629,decreto
4625,vereador
4624,estrada
4624,ARTS
4623,implantação
4620,iria
4618,Zé
4618,publicação
4618,Alexandre
4617,daqui
4611,buscar
4610,relator
4610,página
4609,sucessão
4607,ganha
4604,aliás
4603,veja
4599,atendimento
4598,autores
4595,fábrica
4594,estabilização
4590,cores
4588,Catarina
4586,Pará
